Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 10, 500, 
0, 0, 11, 11, 1, 8, 600, 
0, 0, 12, 12, 1, 8, 700, 
0, 0, 14, 14, 1, 8, 800, 
0, 1, 16, 15, 2, 9, 900, 
0, 1, 17, 16, 3, 11, 1000, 
0, 2, 18, 16, 3, 11, 1100, 
0, 2, 18, 16, 5, 11, 1200, 
0, 3, 20, 17, 5, 13, 1300, 
0, 3, 20, 17, 5, 12, 1400, 
0, 4, 22, 18, 10, 12, 1500, 
0, 4, 22, 18, 10, 13, 1600, 
0, 5, 22, 17, 10, 14, 1700, 
0, 5, 22, 17, 15, 15, 1800, 
0, 6, 21, 15, 15, 14, 1900, 
0, 7, 21, 14, 16, 14, 2000, 
0, 7, 22, 15, 23, 14, 2100, 
0, 7, 22, 15, 23, 12, 2200, 
0, 7, 24, 17, 23, 14, 2300, 
0, 7, 24, 17, 30, 14, 2400, 
0, 7, 26, 19, 31, 14, 2500, 
0, 9, 27, 18, 31, 14, 2600, 
0, 11, 28, 17, 42, 14, 2700, 
0, 11, 26, 15, 42, 16, 2800, 
0, 11, 28, 17, 42, 14, 2900, 
0, 11, 29, 18, 54, 16, 3000, 
0, 12, 30, 18, 54, 14, 3100, 
0, 12, 30, 18, 54, 15, 3200, 
0, 13, 32, 19, 67, 15, 3300, 
0, 13, 33, 20, 67, 14, 3400, 
1, 13, 33, 20, 68, 12, 3500, 
0, 14, 32, 18, 82, 12, 3600, 
0, 14, 32, 18, 82, 13, 3700, 
0, 15, 33, 18, 82, 13, 3800, 
0, 15, 32, 17, 97, 13, 3900, 
0, 17, 31, 14, 98, 13, 4000, 
0, 18, 31, 13, 98, 13, 4100, 
0, 18, 33, 15, 116, 13, 4200, 
0, 18, 34, 16, 115, 13, 4300, 
0, 19, 34, 15, 115, 12, 4400, 
0, 19, 34, 15, 135, 14, 4500, 
0, 19, 34, 15, 135, 16, 4600, 
0, 19, 34, 15, 135, 15, 4700, 
0, 19, 34, 15, 153, 14, 4800, 
0, 20, 34, 14, 153, 14, 4900, 
0, 21, 34, 13, 154, 15, 5000, 
