Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 8, 500, 
0, 0, 11, 11, 1, 9, 600, 
0, 0, 12, 12, 1, 9, 700, 
0, 0, 14, 14, 1, 9, 800, 
0, 1, 16, 15, 2, 10, 900, 
0, 2, 17, 15, 3, 9, 1000, 
0, 3, 18, 15, 3, 11, 1100, 
0, 3, 18, 15, 6, 11, 1200, 
0, 3, 19, 16, 6, 11, 1300, 
0, 4, 21, 17, 6, 11, 1400, 
0, 4, 22, 18, 11, 13, 1500, 
0, 5, 23, 18, 11, 13, 1600, 
0, 6, 22, 16, 11, 13, 1700, 
0, 6, 21, 15, 17, 13, 1800, 
0, 6, 21, 15, 17, 13, 1900, 
0, 7, 22, 15, 18, 13, 2000, 
0, 7, 22, 15, 25, 13, 2100, 
0, 8, 22, 14, 25, 15, 2200, 
0, 8, 24, 16, 25, 14, 2300, 
0, 8, 23, 15, 33, 11, 2400, 
0, 8, 25, 17, 34, 12, 2500, 
0, 8, 27, 19, 34, 14, 2600, 
0, 9, 28, 19, 43, 14, 2700, 
0, 9, 25, 16, 43, 13, 2800, 
0, 10, 27, 17, 43, 14, 2900, 
0, 11, 27, 16, 55, 15, 3000, 
0, 12, 29, 17, 55, 11, 3100, 
0, 12, 29, 17, 55, 11, 3200, 
0, 12, 31, 19, 67, 12, 3300, 
0, 12, 31, 19, 67, 13, 3400, 
0, 12, 30, 18, 67, 13, 3500, 
0, 13, 30, 17, 80, 13, 3600, 
0, 13, 32, 19, 79, 11, 3700, 
0, 13, 32, 19, 79, 12, 3800, 
0, 13, 32, 19, 91, 12, 3900, 
0, 14, 30, 16, 92, 13, 4000, 
0, 15, 31, 16, 92, 14, 4100, 
0, 18, 33, 15, 110, 16, 4200, 
0, 19, 32, 13, 110, 17, 4300, 
0, 19, 34, 15, 110, 14, 4400, 
0, 19, 34, 15, 128, 15, 4500, 
0, 20, 35, 15, 128, 17, 4600, 
0, 21, 35, 14, 128, 17, 4700, 
0, 21, 36, 15, 149, 17, 4800, 
0, 21, 36, 15, 149, 16, 4900, 
0, 21, 36, 15, 149, 18, 5000, 
