Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 8, 500, 
0, 0, 12, 12, 1, 9, 600, 
0, 0, 12, 12, 1, 9, 700, 
0, 0, 14, 14, 1, 9, 800, 
0, 0, 14, 14, 1, 9, 900, 
0, 0, 14, 14, 2, 11, 1000, 
0, 0, 16, 16, 2, 13, 1100, 
0, 0, 16, 16, 2, 13, 1200, 
0, 0, 16, 16, 2, 13, 1300, 
0, 2, 18, 16, 2, 13, 1400, 
0, 3, 20, 17, 6, 13, 1500, 
0, 3, 21, 18, 6, 14, 1600, 
0, 4, 21, 17, 6, 12, 1700, 
0, 4, 21, 17, 10, 13, 1800, 
0, 6, 20, 14, 10, 13, 1900, 
0, 6, 22, 16, 11, 14, 2000, 
0, 7, 23, 16, 18, 14, 2100, 
0, 7, 23, 16, 18, 14, 2200, 
0, 8, 24, 16, 18, 13, 2300, 
0, 8, 22, 14, 26, 11, 2400, 
0, 8, 24, 16, 27, 12, 2500, 
0, 8, 26, 18, 27, 13, 2600, 
0, 8, 27, 19, 35, 12, 2700, 
0, 8, 25, 17, 35, 13, 2800, 
0, 9, 27, 18, 35, 14, 2900, 
0, 9, 28, 19, 45, 14, 3000, 
0, 10, 30, 20, 45, 14, 3100, 
0, 12, 30, 18, 45, 14, 3200, 
0, 13, 32, 19, 58, 15, 3300, 
0, 13, 32, 19, 58, 16, 3400, 
0, 13, 32, 19, 58, 15, 3500, 
0, 15, 31, 16, 73, 16, 3600, 
0, 16, 33, 17, 73, 16, 3700, 
0, 16, 34, 18, 73, 13, 3800, 
0, 17, 33, 16, 89, 12, 3900, 
0, 17, 31, 14, 90, 13, 4000, 
0, 17, 31, 14, 89, 13, 4100, 
0, 17, 32, 15, 106, 12, 4200, 
0, 17, 33, 16, 106, 12, 4300, 
0, 17, 33, 16, 106, 11, 4400, 
0, 18, 32, 14, 125, 12, 4500, 
0, 18, 34, 16, 125, 13, 4600, 
0, 18, 34, 16, 125, 12, 4700, 
0, 18, 35, 17, 142, 11, 4800, 
0, 19, 34, 15, 142, 11, 4900, 
0, 20, 34, 14, 141, 9, 5000, 
