Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 10, 500, 
0, 0, 10, 10, 1, 11, 600, 
0, 0, 11, 11, 1, 10, 700, 
0, 0, 13, 13, 1, 10, 800, 
0, 0, 14, 14, 1, 10, 900, 
0, 1, 15, 14, 2, 11, 1000, 
0, 1, 17, 16, 2, 11, 1100, 
0, 1, 17, 16, 3, 12, 1200, 
0, 1, 19, 18, 3, 11, 1300, 
0, 2, 19, 17, 3, 13, 1400, 
0, 3, 21, 18, 7, 13, 1500, 
0, 4, 21, 17, 7, 12, 1600, 
0, 4, 21, 17, 7, 12, 1700, 
0, 4, 19, 15, 11, 13, 1800, 
0, 6, 19, 13, 11, 14, 1900, 
0, 6, 21, 15, 12, 13, 2000, 
0, 6, 22, 16, 18, 13, 2100, 
0, 7, 22, 15, 18, 13, 2200, 
0, 8, 24, 16, 18, 12, 2300, 
0, 9, 25, 16, 27, 11, 2400, 
0, 10, 27, 17, 28, 12, 2500, 
0, 10, 29, 19, 28, 14, 2600, 
0, 10, 29, 19, 38, 15, 2700, 
0, 10, 27, 17, 38, 15, 2800, 
0, 10, 28, 18, 38, 12, 2900, 
0, 10, 29, 19, 49, 13, 3000, 
0, 13, 31, 18, 49, 12, 3100, 
0, 14, 30, 16, 49, 13, 3200, 
0, 14, 32, 18, 63, 15, 3300, 
0, 14, 33, 19, 63, 15, 3400, 
0, 15, 32, 17, 64, 15, 3500, 
0, 15, 31, 16, 79, 17, 3600, 
0, 15, 32, 17, 79, 18, 3700, 
0, 15, 32, 17, 79, 18, 3800, 
0, 15, 32, 17, 94, 19, 3900, 
0, 15, 30, 15, 95, 19, 4000, 
0, 15, 30, 15, 95, 20, 4100, 
0, 15, 31, 16, 110, 19, 4200, 
0, 15, 31, 16, 110, 16, 4300, 
0, 15, 31, 16, 110, 18, 4400, 
0, 16, 31, 15, 127, 18, 4500, 
0, 18, 33, 15, 127, 17, 4600, 
0, 18, 32, 14, 127, 18, 4700, 
0, 18, 33, 15, 145, 17, 4800, 
0, 19, 33, 14, 144, 16, 4900, 
0, 19, 33, 14, 145, 18, 5000, 
