Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 9, 500, 
0, 0, 12, 12, 1, 8, 600, 
0, 0, 13, 13, 1, 7, 700, 
0, 0, 14, 14, 1, 8, 800, 
0, 1, 16, 15, 2, 8, 900, 
0, 1, 16, 15, 3, 9, 1000, 
0, 1, 17, 16, 3, 9, 1100, 
0, 1, 17, 16, 4, 10, 1200, 
0, 1, 18, 17, 4, 11, 1300, 
0, 1, 20, 19, 4, 13, 1400, 
0, 1, 21, 20, 6, 14, 1500, 
0, 2, 20, 18, 6, 13, 1600, 
0, 4, 19, 15, 6, 13, 1700, 
0, 4, 18, 14, 10, 13, 1800, 
0, 4, 18, 14, 10, 15, 1900, 
0, 4, 20, 16, 11, 15, 2000, 
0, 5, 20, 15, 16, 15, 2100, 
0, 5, 21, 16, 16, 13, 2200, 
0, 6, 23, 17, 16, 15, 2300, 
0, 6, 23, 17, 22, 15, 2400, 
0, 6, 23, 17, 23, 16, 2500, 
0, 7, 25, 18, 23, 15, 2600, 
0, 7, 26, 19, 30, 15, 2700, 
0, 8, 24, 16, 30, 15, 2800, 
0, 8, 26, 18, 30, 15, 2900, 
0, 9, 27, 18, 40, 15, 3000, 
0, 10, 28, 18, 40, 16, 3100, 
0, 11, 28, 17, 40, 15, 3200, 
0, 12, 30, 18, 52, 15, 3300, 
0, 12, 31, 19, 52, 16, 3400, 
0, 13, 31, 18, 53, 15, 3500, 
0, 14, 31, 17, 67, 14, 3600, 
0, 15, 32, 17, 67, 15, 3700, 
0, 15, 33, 18, 67, 15, 3800, 
0, 16, 33, 17, 83, 15, 3900, 
0, 16, 31, 15, 84, 13, 4000, 
0, 17, 31, 14, 84, 13, 4100, 
0, 17, 33, 16, 101, 13, 4200, 
1, 18, 34, 16, 101, 13, 4300, 
0, 18, 36, 18, 101, 14, 4400, 
0, 19, 36, 17, 121, 12, 4500, 
0, 19, 38, 19, 121, 12, 4600, 
0, 19, 38, 19, 119, 11, 4700, 
0, 22, 36, 14, 141, 13, 4800, 
0, 22, 36, 14, 141, 13, 4900, 
0, 23, 35, 12, 142, 11, 5000, 
