Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 7, 500, 
0, 0, 11, 11, 1, 7, 600, 
0, 0, 12, 12, 1, 9, 700, 
0, 0, 13, 13, 1, 9, 800, 
0, 0, 15, 15, 1, 10, 900, 
0, 0, 15, 15, 2, 11, 1000, 
0, 0, 16, 16, 2, 12, 1100, 
0, 0, 16, 16, 2, 14, 1200, 
0, 0, 17, 17, 2, 13, 1300, 
0, 1, 19, 18, 2, 15, 1400, 
0, 2, 20, 18, 5, 15, 1500, 
0, 3, 21, 18, 5, 15, 1600, 
0, 3, 21, 18, 5, 16, 1700, 
0, 3, 20, 17, 8, 18, 1800, 
0, 4, 19, 15, 8, 19, 1900, 
0, 4, 21, 17, 9, 18, 2000, 
0, 6, 22, 16, 15, 19, 2100, 
0, 6, 23, 17, 15, 20, 2200, 
1, 7, 25, 18, 15, 19, 2300, 
0, 7, 26, 19, 22, 20, 2400, 
0, 7, 28, 21, 23, 19, 2500, 
0, 7, 28, 21, 23, 20, 2600, 
0, 9, 28, 19, 32, 21, 2700, 
0, 9, 26, 17, 32, 20, 2800, 
0, 10, 27, 17, 32, 21, 2900, 
0, 11, 28, 17, 44, 19, 3000, 
0, 11, 29, 18, 44, 20, 3100, 
0, 11, 29, 18, 44, 22, 3200, 
0, 12, 30, 18, 56, 21, 3300, 
0, 12, 30, 18, 56, 21, 3400, 
0, 12, 29, 17, 57, 21, 3500, 
0, 12, 28, 16, 69, 21, 3600, 
0, 12, 30, 18, 69, 21, 3700, 
0, 12, 30, 18, 69, 22, 3800, 
0, 13, 30, 17, 82, 17, 3900, 
0, 13, 29, 16, 83, 17, 4000, 
0, 14, 29, 15, 83, 19, 4100, 
0, 14, 31, 17, 97, 20, 4200, 
0, 15, 31, 16, 97, 21, 4300, 
0, 15, 32, 17, 97, 23, 4400, 
0, 15, 32, 17, 113, 20, 4500, 
0, 16, 32, 16, 112, 19, 4600, 
0, 16, 31, 15, 112, 18, 4700, 
0, 16, 32, 16, 128, 17, 4800, 
0, 16, 31, 15, 127, 17, 4900, 
0, 16, 31, 15, 128, 18, 5000, 
