Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 8, 500, 
0, 1, 12, 11, 2, 9, 600, 
0, 1, 12, 11, 2, 10, 700, 
0, 1, 14, 13, 2, 11, 800, 
0, 1, 15, 14, 3, 11, 900, 
0, 1, 15, 14, 4, 12, 1000, 
0, 1, 16, 15, 4, 13, 1100, 
0, 1, 15, 14, 5, 12, 1200, 
0, 1, 15, 14, 5, 14, 1300, 
0, 1, 17, 16, 5, 12, 1400, 
0, 1, 17, 16, 7, 11, 1500, 
0, 1, 17, 16, 7, 13, 1600, 
0, 1, 17, 16, 7, 14, 1700, 
0, 1, 17, 16, 8, 14, 1800, 
0, 2, 17, 15, 8, 12, 1900, 
0, 2, 17, 15, 9, 12, 2000, 
0, 2, 17, 15, 11, 12, 2100, 
0, 2, 18, 16, 11, 12, 2200, 
0, 4, 20, 16, 11, 12, 2300, 
0, 5, 21, 16, 16, 13, 2400, 
0, 6, 23, 17, 17, 12, 2500, 
0, 6, 24, 18, 17, 11, 2600, 
0, 6, 25, 19, 23, 12, 2700, 
0, 6, 23, 17, 23, 12, 2800, 
0, 6, 24, 18, 23, 13, 2900, 
0, 6, 25, 19, 30, 13, 3000, 
0, 6, 26, 20, 30, 14, 3100, 
0, 7, 23, 16, 30, 16, 3200, 
0, 7, 25, 18, 37, 17, 3300, 
0, 8, 26, 18, 37, 17, 3400, 
0, 8, 26, 18, 38, 16, 3500, 
0, 9, 26, 17, 47, 16, 3600, 
0, 9, 28, 19, 47, 16, 3700, 
0, 11, 28, 17, 47, 16, 3800, 
0, 12, 28, 16, 59, 16, 3900, 
0, 12, 25, 13, 60, 18, 4000, 
0, 12, 26, 14, 60, 16, 4100, 
0, 12, 27, 15, 72, 17, 4200, 
0, 12, 27, 15, 72, 17, 4300, 
0, 12, 28, 16, 72, 17, 4400, 
0, 12, 28, 16, 85, 18, 4500, 
0, 12, 30, 18, 85, 16, 4600, 
0, 13, 30, 17, 85, 17, 4700, 
0, 13, 31, 18, 98, 16, 4800, 
0, 15, 30, 15, 98, 16, 4900, 
0, 15, 30, 15, 99, 16, 5000, 
