Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 9, 500, 
0, 0, 12, 12, 1, 10, 600, 
0, 0, 11, 11, 1, 10, 700, 
0, 0, 13, 13, 1, 10, 800, 
0, 1, 15, 14, 2, 11, 900, 
0, 1, 15, 14, 3, 11, 1000, 
0, 1, 17, 16, 3, 12, 1100, 
0, 1, 14, 13, 4, 14, 1200, 
0, 1, 16, 15, 4, 12, 1300, 
0, 1, 18, 17, 4, 14, 1400, 
0, 1, 18, 17, 6, 14, 1500, 
0, 1, 19, 18, 6, 15, 1600, 
0, 3, 18, 15, 6, 16, 1700, 
0, 3, 18, 15, 9, 18, 1800, 
0, 4, 18, 14, 9, 17, 1900, 
0, 4, 20, 16, 10, 17, 2000, 
0, 4, 21, 17, 14, 17, 2100, 
0, 5, 21, 16, 14, 17, 2200, 
0, 5, 22, 17, 14, 17, 2300, 
0, 5, 22, 17, 19, 18, 2400, 
0, 5, 24, 19, 20, 18, 2500, 
0, 5, 24, 19, 20, 17, 2600, 
0, 6, 25, 19, 26, 15, 2700, 
0, 6, 23, 17, 26, 14, 2800, 
0, 7, 25, 18, 26, 13, 2900, 
0, 8, 26, 18, 35, 14, 3000, 
0, 8, 28, 20, 35, 16, 3100, 
0, 8, 28, 20, 35, 16, 3200, 
0, 9, 28, 19, 44, 17, 3300, 
0, 9, 29, 20, 44, 15, 3400, 
0, 9, 29, 20, 45, 14, 3500, 
0, 10, 29, 19, 55, 15, 3600, 
0, 10, 31, 21, 55, 16, 3700, 
0, 12, 31, 19, 55, 17, 3800, 
0, 14, 31, 17, 69, 17, 3900, 
0, 14, 30, 16, 70, 18, 4000, 
0, 14, 30, 16, 70, 19, 4100, 
0, 14, 30, 16, 84, 20, 4200, 
0, 14, 29, 15, 84, 19, 4300, 
0, 15, 31, 16, 84, 19, 4400, 
0, 15, 31, 16, 100, 19, 4500, 
0, 16, 33, 17, 100, 19, 4600, 
0, 16, 33, 17, 100, 19, 4700, 
0, 16, 34, 18, 116, 19, 4800, 
0, 16, 34, 18, 116, 19, 4900, 
0, 16, 33, 17, 117, 17, 5000, 
