Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 8, 500, 
0, 0, 12, 12, 1, 9, 600, 
0, 0, 12, 12, 1, 9, 700, 
0, 0, 13, 13, 1, 11, 800, 
0, 0, 14, 14, 1, 12, 900, 
0, 0, 13, 13, 2, 13, 1000, 
0, 0, 15, 15, 2, 13, 1100, 
0, 0, 15, 15, 2, 13, 1200, 
0, 0, 17, 17, 2, 14, 1300, 
0, 0, 17, 17, 2, 14, 1400, 
0, 0, 19, 19, 3, 15, 1500, 
0, 0, 19, 19, 3, 17, 1600, 
0, 1, 18, 17, 3, 18, 1700, 
0, 2, 17, 15, 5, 17, 1800, 
0, 2, 17, 15, 5, 18, 1900, 
0, 2, 18, 16, 6, 17, 2000, 
0, 3, 19, 16, 9, 15, 2100, 
0, 4, 19, 15, 9, 15, 2200, 
0, 4, 20, 16, 9, 14, 2300, 
0, 4, 21, 17, 13, 13, 2400, 
0, 4, 23, 19, 14, 11, 2500, 
0, 5, 24, 19, 14, 11, 2600, 
0, 5, 24, 19, 19, 12, 2700, 
0, 6, 21, 15, 19, 11, 2800, 
0, 6, 23, 17, 19, 10, 2900, 
0, 6, 24, 18, 26, 10, 3000, 
0, 8, 26, 18, 26, 11, 3100, 
0, 8, 26, 18, 26, 11, 3200, 
0, 9, 28, 19, 35, 12, 3300, 
0, 9, 29, 20, 35, 11, 3400, 
0, 10, 28, 18, 36, 9, 3500, 
0, 11, 28, 17, 47, 10, 3600, 
0, 11, 29, 18, 47, 11, 3700, 
0, 11, 30, 19, 47, 10, 3800, 
0, 11, 29, 18, 58, 11, 3900, 
0, 11, 28, 17, 59, 9, 4000, 
0, 11, 28, 17, 59, 11, 4100, 
0, 12, 30, 18, 71, 11, 4200, 
0, 14, 29, 15, 71, 13, 4300, 
0, 14, 30, 16, 71, 12, 4400, 
0, 14, 29, 15, 86, 13, 4500, 
0, 14, 31, 17, 85, 13, 4600, 
0, 15, 31, 16, 85, 13, 4700, 
0, 15, 32, 17, 100, 13, 4800, 
0, 15, 32, 17, 99, 14, 4900, 
0, 15, 29, 14, 100, 13, 5000, 
