Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 8, 500, 
0, 0, 12, 12, 1, 8, 600, 
0, 0, 12, 12, 1, 9, 700, 
0, 0, 13, 13, 1, 10, 800, 
0, 0, 15, 15, 1, 12, 900, 
0, 0, 15, 15, 2, 12, 1000, 
0, 1, 16, 15, 2, 13, 1100, 
0, 1, 16, 15, 3, 14, 1200, 
0, 1, 16, 15, 3, 14, 1300, 
0, 1, 18, 17, 3, 15, 1400, 
0, 1, 19, 18, 5, 16, 1500, 
0, 1, 20, 19, 5, 18, 1600, 
0, 1, 19, 18, 5, 19, 1700, 
0, 2, 17, 15, 7, 20, 1800, 
0, 3, 15, 12, 7, 20, 1900, 
0, 3, 16, 13, 8, 21, 2000, 
0, 3, 17, 14, 11, 18, 2100, 
0, 3, 18, 15, 11, 17, 2200, 
0, 3, 20, 17, 11, 16, 2300, 
0, 4, 21, 17, 15, 16, 2400, 
0, 6, 22, 16, 16, 17, 2500, 
0, 6, 23, 17, 16, 16, 2600, 
1, 6, 23, 17, 22, 16, 2700, 
0, 6, 20, 14, 22, 16, 2800, 
0, 6, 22, 16, 22, 16, 2900, 
0, 7, 24, 17, 30, 18, 3000, 
0, 7, 26, 19, 30, 19, 3100, 
0, 7, 25, 18, 30, 19, 3200, 
0, 7, 27, 20, 37, 19, 3300, 
0, 8, 28, 20, 37, 19, 3400, 
0, 9, 28, 19, 38, 20, 3500, 
0, 10, 27, 17, 48, 20, 3600, 
0, 11, 28, 17, 48, 21, 3700, 
0, 12, 29, 17, 48, 21, 3800, 
0, 13, 29, 16, 61, 20, 3900, 
0, 13, 28, 15, 62, 20, 4000, 
0, 13, 28, 15, 62, 20, 4100, 
0, 14, 30, 16, 76, 20, 4200, 
0, 14, 29, 15, 76, 22, 4300, 
0, 14, 30, 16, 76, 20, 4400, 
0, 14, 30, 16, 91, 20, 4500, 
0, 14, 32, 18, 91, 20, 4600, 
0, 15, 32, 17, 90, 18, 4700, 
0, 15, 32, 17, 105, 19, 4800, 
0, 17, 31, 14, 105, 20, 4900, 
0, 17, 30, 13, 106, 19, 5000, 
