Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 6, 500, 
0, 0, 12, 12, 1, 8, 600, 
0, 0, 12, 12, 1, 9, 700, 
0, 0, 14, 14, 1, 11, 800, 
0, 0, 15, 15, 1, 12, 900, 
0, 1, 16, 15, 2, 13, 1000, 
0, 1, 17, 16, 2, 14, 1100, 
0, 2, 16, 14, 4, 14, 1200, 
0, 3, 17, 14, 4, 13, 1300, 
0, 3, 19, 16, 4, 12, 1400, 
0, 3, 21, 18, 8, 13, 1500, 
0, 3, 20, 17, 8, 12, 1600, 
0, 3, 19, 16, 8, 13, 1700, 
0, 3, 19, 16, 11, 13, 1800, 
0, 4, 18, 14, 11, 14, 1900, 
0, 4, 20, 16, 12, 13, 2000, 
0, 5, 21, 16, 17, 11, 2100, 
0, 6, 22, 16, 17, 12, 2200, 
0, 7, 24, 17, 17, 13, 2300, 
1, 7, 24, 17, 24, 11, 2400, 
0, 7, 26, 19, 25, 11, 2500, 
0, 11, 28, 17, 25, 12, 2600, 
0, 11, 28, 17, 36, 12, 2700, 
0, 11, 25, 14, 36, 11, 2800, 
0, 11, 27, 16, 36, 13, 2900, 
0, 11, 28, 17, 48, 15, 3000, 
0, 12, 29, 17, 48, 16, 3100, 
0, 12, 29, 17, 48, 16, 3200, 
0, 12, 30, 18, 60, 18, 3300, 
0, 12, 31, 19, 60, 19, 3400, 
0, 12, 30, 18, 61, 19, 3500, 
0, 13, 30, 17, 74, 18, 3600, 
0, 13, 30, 17, 74, 19, 3700, 
0, 13, 30, 17, 74, 19, 3800, 
0, 13, 30, 17, 87, 18, 3900, 
0, 13, 27, 14, 88, 18, 4000, 
0, 14, 28, 14, 88, 18, 4100, 
0, 15, 30, 15, 103, 19, 4200, 
0, 16, 29, 13, 103, 19, 4300, 
0, 16, 31, 15, 103, 17, 4400, 
0, 16, 30, 14, 120, 18, 4500, 
0, 16, 32, 16, 120, 17, 4600, 
0, 16, 31, 15, 120, 17, 4700, 
0, 17, 32, 15, 137, 17, 4800, 
0, 17, 32, 15, 137, 18, 4900, 
0, 17, 32, 15, 137, 19, 5000, 
