Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 10, 500, 
0, 0, 11, 11, 1, 10, 600, 
0, 0, 12, 12, 1, 9, 700, 
0, 0, 13, 13, 1, 10, 800, 
0, 0, 12, 12, 1, 10, 900, 
0, 0, 13, 13, 2, 11, 1000, 
0, 1, 15, 14, 2, 12, 1100, 
0, 1, 15, 14, 3, 12, 1200, 
0, 1, 16, 15, 3, 11, 1300, 
0, 1, 17, 16, 3, 13, 1400, 
0, 1, 19, 18, 5, 13, 1500, 
0, 1, 19, 18, 5, 14, 1600, 
0, 1, 18, 17, 5, 15, 1700, 
0, 1, 16, 15, 6, 15, 1800, 
0, 1, 15, 14, 6, 15, 1900, 
0, 1, 16, 15, 7, 16, 2000, 
0, 2, 17, 15, 9, 16, 2100, 
0, 2, 17, 15, 9, 16, 2200, 
0, 2, 18, 16, 9, 14, 2300, 
0, 2, 18, 16, 11, 15, 2400, 
0, 2, 19, 17, 12, 16, 2500, 
0, 2, 21, 19, 12, 16, 2600, 
0, 3, 21, 18, 15, 16, 2700, 
0, 3, 18, 15, 15, 18, 2800, 
0, 3, 19, 16, 15, 17, 2900, 
0, 3, 20, 17, 19, 17, 3000, 
0, 3, 21, 18, 19, 14, 3100, 
0, 4, 21, 17, 19, 15, 3200, 
0, 4, 23, 19, 23, 14, 3300, 
0, 4, 22, 18, 23, 15, 3400, 
0, 4, 21, 17, 24, 17, 3500, 
0, 4, 20, 16, 28, 15, 3600, 
0, 4, 22, 18, 28, 15, 3700, 
0, 4, 22, 18, 28, 16, 3800, 
0, 4, 20, 16, 32, 17, 3900, 
0, 4, 18, 14, 33, 16, 4000, 
0, 5, 19, 14, 33, 14, 4100, 
0, 5, 20, 15, 38, 15, 4200, 
0, 5, 21, 16, 38, 15, 4300, 
0, 5, 22, 17, 38, 15, 4400, 
0, 5, 21, 16, 44, 15, 4500, 
0, 5, 22, 17, 44, 17, 4600, 
0, 7, 22, 15, 44, 14, 4700, 
0, 8, 23, 15, 52, 15, 4800, 
0, 8, 23, 15, 52, 14, 4900, 
0, 8, 22, 14, 53, 15, 5000, 
