Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 10, 500, 
0, 0, 12, 12, 1, 11, 600, 
0, 0, 12, 12, 1, 12, 700, 
0, 0, 14, 14, 1, 14, 800, 
0, 0, 14, 14, 1, 13, 900, 
0, 0, 15, 15, 2, 14, 1000, 
0, 0, 17, 17, 2, 14, 1100, 
0, 1, 17, 16, 3, 12, 1200, 
0, 2, 18, 16, 3, 14, 1300, 
0, 3, 20, 17, 3, 14, 1400, 
0, 3, 20, 17, 7, 14, 1500, 
0, 3, 19, 16, 7, 13, 1600, 
0, 3, 19, 16, 7, 13, 1700, 
0, 3, 18, 15, 10, 15, 1800, 
0, 3, 16, 13, 10, 15, 1900, 
0, 4, 18, 14, 11, 16, 2000, 
0, 4, 19, 15, 15, 16, 2100, 
0, 4, 19, 15, 15, 16, 2200, 
0, 4, 20, 16, 15, 16, 2300, 
0, 4, 21, 17, 19, 17, 2400, 
0, 4, 22, 18, 20, 18, 2500, 
0, 5, 23, 18, 20, 16, 2600, 
0, 5, 24, 19, 25, 16, 2700, 
0, 5, 22, 17, 25, 16, 2800, 
0, 7, 23, 16, 25, 16, 2900, 
0, 7, 25, 18, 33, 15, 3000, 
0, 8, 26, 18, 33, 13, 3100, 
0, 8, 26, 18, 33, 14, 3200, 
0, 9, 28, 19, 42, 13, 3300, 
0, 9, 29, 20, 42, 15, 3400, 
0, 10, 27, 17, 43, 16, 3500, 
0, 10, 27, 17, 53, 16, 3600, 
0, 10, 27, 17, 53, 15, 3700, 
0, 10, 28, 18, 53, 15, 3800, 
0, 10, 28, 18, 63, 17, 3900, 
0, 12, 27, 15, 64, 16, 4000, 
0, 13, 27, 14, 64, 15, 4100, 
0, 14, 29, 15, 76, 16, 4200, 
0, 14, 29, 15, 76, 18, 4300, 
0, 14, 31, 17, 76, 19, 4400, 
0, 15, 30, 15, 92, 18, 4500, 
0, 15, 32, 17, 92, 17, 4600, 
0, 15, 31, 16, 92, 16, 4700, 
0, 16, 32, 16, 106, 16, 4800, 
0, 17, 32, 15, 106, 17, 4900, 
0, 17, 31, 14, 106, 17, 5000, 
