Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 9, 500, 
0, 0, 12, 12, 1, 9, 600, 
0, 0, 11, 11, 1, 8, 700, 
0, 0, 13, 13, 1, 9, 800, 
0, 0, 14, 14, 1, 8, 900, 
0, 0, 15, 15, 2, 10, 1000, 
0, 0, 15, 15, 2, 10, 1100, 
0, 0, 15, 15, 2, 11, 1200, 
0, 1, 17, 16, 2, 11, 1300, 
0, 1, 19, 18, 2, 9, 1400, 
0, 2, 21, 19, 5, 9, 1500, 
0, 3, 22, 19, 5, 9, 1600, 
0, 5, 22, 17, 5, 10, 1700, 
0, 5, 21, 16, 10, 10, 1800, 
0, 5, 19, 14, 10, 12, 1900, 
0, 5, 21, 16, 11, 13, 2000, 
0, 5, 22, 17, 16, 13, 2100, 
0, 5, 21, 16, 16, 12, 2200, 
0, 5, 22, 17, 16, 13, 2300, 
0, 6, 23, 17, 22, 11, 2400, 
0, 6, 24, 18, 23, 11, 2500, 
0, 7, 25, 18, 23, 13, 2600, 
0, 8, 26, 18, 31, 14, 2700, 
0, 9, 24, 15, 31, 16, 2800, 
0, 9, 26, 17, 31, 16, 2900, 
0, 9, 27, 18, 41, 16, 3000, 
0, 11, 28, 17, 41, 18, 3100, 
0, 11, 28, 17, 41, 18, 3200, 
0, 11, 30, 19, 52, 18, 3300, 
0, 12, 30, 18, 52, 19, 3400, 
0, 13, 30, 17, 53, 18, 3500, 
0, 14, 29, 15, 67, 20, 3600, 
0, 14, 30, 16, 67, 17, 3700, 
0, 14, 30, 16, 67, 16, 3800, 
0, 14, 29, 15, 81, 15, 3900, 
0, 14, 28, 14, 82, 16, 4000, 
0, 14, 28, 14, 81, 15, 4100, 
0, 14, 30, 16, 95, 14, 4200, 
0, 14, 29, 15, 95, 15, 4300, 
1, 15, 31, 16, 94, 16, 4400, 
0, 15, 30, 15, 110, 16, 4500, 
0, 16, 32, 16, 109, 14, 4600, 
0, 16, 31, 15, 109, 15, 4700, 
0, 16, 32, 16, 125, 14, 4800, 
0, 16, 32, 16, 121, 13, 4900, 
0, 16, 31, 15, 120, 10, 5000, 
