Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 8, 500, 
0, 0, 12, 12, 1, 7, 600, 
0, 0, 12, 12, 1, 7, 700, 
0, 0, 13, 13, 1, 7, 800, 
0, 0, 15, 15, 1, 8, 900, 
0, 0, 16, 16, 2, 8, 1000, 
0, 0, 17, 17, 2, 7, 1100, 
0, 0, 14, 14, 2, 8, 1200, 
0, 0, 15, 15, 2, 8, 1300, 
0, 1, 17, 16, 2, 10, 1400, 
0, 1, 19, 18, 4, 11, 1500, 
0, 1, 20, 19, 4, 12, 1600, 
0, 2, 19, 17, 4, 11, 1700, 
0, 2, 18, 16, 6, 11, 1800, 
0, 4, 17, 13, 6, 11, 1900, 
0, 4, 18, 14, 7, 11, 2000, 
0, 4, 18, 14, 11, 12, 2100, 
0, 4, 18, 14, 11, 14, 2200, 
0, 4, 19, 15, 11, 15, 2300, 
0, 4, 20, 16, 15, 15, 2400, 
0, 5, 21, 16, 16, 17, 2500, 
0, 6, 23, 17, 16, 17, 2600, 
0, 6, 24, 18, 22, 16, 2700, 
0, 6, 22, 16, 22, 17, 2800, 
0, 8, 24, 16, 22, 17, 2900, 
0, 8, 25, 17, 31, 19, 3000, 
0, 9, 27, 18, 31, 18, 3100, 
0, 9, 26, 17, 31, 18, 3200, 
1, 10, 28, 18, 41, 16, 3300, 
1, 10, 28, 18, 41, 16, 3400, 
0, 10, 26, 16, 42, 16, 3500, 
0, 10, 25, 15, 52, 18, 3600, 
0, 10, 26, 16, 52, 18, 3700, 
0, 11, 27, 16, 52, 18, 3800, 
0, 11, 27, 16, 62, 20, 3900, 
0, 11, 26, 15, 63, 18, 4000, 
0, 11, 26, 15, 63, 19, 4100, 
0, 11, 28, 17, 73, 17, 4200, 
0, 11, 27, 16, 73, 18, 4300, 
0, 11, 28, 17, 73, 17, 4400, 
0, 11, 28, 17, 85, 17, 4500, 
0, 13, 30, 17, 84, 18, 4600, 
0, 13, 28, 15, 84, 18, 4700, 
0, 13, 28, 15, 97, 18, 4800, 
0, 13, 28, 15, 97, 19, 4900, 
0, 13, 27, 14, 98, 19, 5000, 
