Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 8, 500, 
0, 0, 12, 12, 1, 8, 600, 
0, 0, 13, 13, 1, 6, 700, 
0, 0, 15, 15, 1, 7, 800, 
0, 1, 15, 14, 2, 7, 900, 
0, 2, 16, 14, 3, 8, 1000, 
0, 2, 18, 16, 3, 9, 1100, 
0, 2, 17, 15, 5, 9, 1200, 
0, 2, 19, 17, 5, 11, 1300, 
0, 3, 21, 18, 5, 11, 1400, 
0, 3, 22, 19, 9, 11, 1500, 
0, 5, 22, 17, 9, 12, 1600, 
0, 5, 22, 17, 9, 13, 1700, 
0, 6, 21, 15, 15, 14, 1800, 
0, 6, 21, 15, 15, 13, 1900, 
0, 6, 21, 15, 16, 13, 2000, 
0, 6, 22, 16, 22, 15, 2100, 
0, 7, 22, 15, 22, 15, 2200, 
0, 7, 24, 17, 22, 14, 2300, 
0, 7, 25, 18, 29, 13, 2400, 
0, 7, 26, 19, 30, 14, 2500, 
0, 7, 27, 20, 30, 14, 2600, 
0, 8, 28, 20, 38, 13, 2700, 
0, 9, 26, 17, 38, 14, 2800, 
0, 9, 26, 17, 38, 14, 2900, 
0, 10, 28, 18, 49, 12, 3000, 
0, 11, 30, 19, 49, 13, 3100, 
0, 12, 29, 17, 49, 13, 3200, 
0, 12, 31, 19, 61, 14, 3300, 
0, 14, 32, 18, 61, 12, 3400, 
0, 14, 32, 18, 62, 12, 3500, 
0, 14, 31, 17, 76, 12, 3600, 
0, 14, 32, 18, 76, 13, 3700, 
0, 15, 33, 18, 76, 12, 3800, 
0, 15, 33, 18, 91, 11, 3900, 
0, 16, 32, 16, 92, 12, 4000, 
1, 16, 32, 16, 92, 12, 4100, 
1, 16, 33, 17, 107, 13, 4200, 
1, 17, 33, 16, 107, 15, 4300, 
0, 17, 35, 18, 106, 15, 4400, 
0, 17, 34, 17, 123, 14, 4500, 
0, 18, 34, 16, 122, 14, 4600, 
0, 18, 33, 15, 121, 14, 4700, 
0, 18, 34, 16, 138, 16, 4800, 
0, 18, 34, 16, 138, 14, 4900, 
0, 18, 33, 15, 139, 15, 5000, 
