Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 7, 500, 
0, 0, 12, 12, 1, 9, 600, 
0, 0, 12, 12, 1, 8, 700, 
0, 0, 13, 13, 1, 10, 800, 
0, 0, 14, 14, 1, 11, 900, 
0, 0, 15, 15, 2, 11, 1000, 
0, 1, 16, 15, 2, 12, 1100, 
0, 1, 15, 14, 3, 12, 1200, 
0, 1, 15, 14, 3, 11, 1300, 
0, 1, 16, 15, 3, 10, 1400, 
0, 1, 17, 16, 5, 11, 1500, 
0, 1, 18, 17, 5, 11, 1600, 
0, 1, 17, 16, 5, 12, 1700, 
0, 1, 17, 16, 6, 12, 1800, 
0, 1, 15, 14, 6, 13, 1900, 
0, 2, 16, 14, 7, 14, 2000, 
0, 3, 17, 14, 10, 13, 2100, 
0, 3, 18, 15, 10, 13, 2200, 
0, 3, 18, 15, 10, 13, 2300, 
0, 3, 19, 16, 13, 13, 2400, 
0, 3, 21, 18, 14, 14, 2500, 
0, 3, 23, 20, 14, 15, 2600, 
0, 3, 24, 21, 17, 14, 2700, 
0, 3, 22, 19, 17, 14, 2800, 
0, 5, 23, 18, 17, 14, 2900, 
0, 6, 25, 19, 24, 13, 3000, 
1, 6, 27, 21, 24, 14, 3100, 
0, 7, 25, 18, 24, 15, 3200, 
0, 7, 26, 19, 31, 14, 3300, 
0, 8, 26, 18, 31, 13, 3400, 
0, 8, 26, 18, 32, 12, 3500, 
0, 8, 26, 18, 40, 12, 3600, 
0, 10, 28, 18, 40, 14, 3700, 
0, 10, 29, 19, 40, 15, 3800, 
0, 11, 29, 18, 51, 12, 3900, 
0, 11, 26, 15, 52, 11, 4000, 
0, 12, 27, 15, 52, 12, 4100, 
0, 12, 28, 16, 64, 13, 4200, 
0, 14, 29, 15, 63, 11, 4300, 
0, 14, 31, 17, 63, 11, 4400, 
0, 14, 30, 16, 78, 12, 4500, 
0, 14, 32, 18, 78, 12, 4600, 
0, 14, 32, 18, 78, 10, 4700, 
0, 15, 32, 17, 92, 10, 4800, 
0, 16, 31, 15, 92, 10, 4900, 
0, 17, 31, 14, 93, 10, 5000, 
