Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 8, 500, 
0, 0, 11, 11, 1, 9, 600, 
0, 1, 12, 11, 1, 11, 700, 
0, 1, 14, 13, 1, 10, 800, 
0, 1, 16, 15, 2, 10, 900, 
0, 1, 16, 15, 3, 12, 1000, 
0, 1, 17, 16, 3, 11, 1100, 
0, 1, 15, 14, 4, 11, 1200, 
0, 1, 16, 15, 4, 13, 1300, 
0, 1, 16, 15, 4, 15, 1400, 
0, 2, 18, 16, 7, 14, 1500, 
0, 2, 19, 17, 7, 13, 1600, 
0, 2, 19, 17, 7, 14, 1700, 
0, 2, 18, 16, 9, 14, 1800, 
0, 3, 18, 15, 9, 15, 1900, 
1, 3, 19, 16, 10, 17, 2000, 
1, 4, 20, 16, 14, 18, 2100, 
0, 5, 20, 15, 14, 18, 2200, 
0, 5, 22, 17, 14, 18, 2300, 
0, 7, 23, 16, 21, 16, 2400, 
0, 8, 25, 17, 22, 15, 2500, 
0, 10, 27, 17, 22, 14, 2600, 
0, 10, 28, 18, 32, 13, 2700, 
0, 10, 25, 15, 32, 14, 2800, 
0, 10, 26, 16, 32, 14, 2900, 
0, 10, 28, 18, 43, 15, 3000, 
0, 10, 29, 19, 43, 14, 3100, 
0, 10, 29, 19, 43, 14, 3200, 
0, 12, 31, 19, 55, 15, 3300, 
0, 12, 31, 19, 55, 16, 3400, 
0, 12, 29, 17, 56, 17, 3500, 
0, 13, 29, 16, 69, 16, 3600, 
0, 13, 31, 18, 69, 16, 3700, 
0, 14, 32, 18, 69, 16, 3800, 
0, 14, 31, 17, 83, 17, 3900, 
0, 14, 28, 14, 83, 18, 4000, 
0, 14, 29, 15, 83, 19, 4100, 
0, 14, 30, 16, 97, 21, 4200, 
0, 15, 31, 16, 95, 23, 4300, 
0, 15, 32, 17, 95, 23, 4400, 
0, 15, 31, 16, 111, 22, 4500, 
0, 15, 33, 18, 111, 23, 4600, 
0, 16, 32, 16, 110, 23, 4700, 
0, 16, 32, 16, 125, 25, 4800, 
0, 18, 31, 13, 124, 25, 4900, 
0, 18, 31, 13, 125, 24, 5000, 
