Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 8, 500, 
0, 0, 12, 12, 1, 8, 600, 
0, 0, 12, 12, 1, 8, 700, 
0, 0, 14, 14, 1, 10, 800, 
0, 0, 13, 13, 1, 10, 900, 
0, 0, 14, 14, 2, 9, 1000, 
0, 1, 16, 15, 2, 11, 1100, 
0, 2, 16, 14, 4, 12, 1200, 
0, 2, 18, 16, 4, 12, 1300, 
0, 3, 20, 17, 4, 11, 1400, 
0, 3, 21, 18, 8, 10, 1500, 
0, 4, 21, 17, 8, 11, 1600, 
0, 4, 19, 15, 8, 12, 1700, 
0, 4, 18, 14, 12, 14, 1800, 
0, 4, 18, 14, 12, 14, 1900, 
0, 4, 20, 16, 13, 13, 2000, 
0, 4, 21, 17, 17, 15, 2100, 
0, 5, 22, 17, 17, 17, 2200, 
0, 5, 24, 19, 17, 14, 2300, 
0, 5, 23, 18, 22, 14, 2400, 
0, 5, 24, 19, 23, 14, 2500, 
0, 5, 26, 21, 23, 15, 2600, 
0, 5, 25, 20, 28, 14, 2700, 
0, 5, 23, 18, 28, 13, 2800, 
0, 7, 25, 18, 28, 13, 2900, 
0, 10, 27, 17, 39, 14, 3000, 
0, 11, 29, 18, 39, 14, 3100, 
0, 11, 29, 18, 39, 15, 3200, 
0, 11, 31, 20, 50, 15, 3300, 
0, 11, 32, 21, 50, 13, 3400, 
0, 13, 32, 19, 51, 14, 3500, 
0, 14, 32, 18, 64, 14, 3600, 
0, 15, 34, 19, 64, 14, 3700, 
0, 15, 35, 20, 64, 14, 3800, 
0, 15, 34, 19, 79, 15, 3900, 
0, 18, 33, 15, 80, 16, 4000, 
0, 19, 34, 15, 80, 15, 4100, 
0, 19, 34, 15, 99, 16, 4200, 
0, 21, 35, 14, 99, 16, 4300, 
0, 21, 36, 15, 98, 15, 4400, 
0, 21, 35, 14, 119, 16, 4500, 
0, 21, 37, 16, 118, 16, 4600, 
0, 21, 37, 16, 117, 17, 4700, 
0, 21, 37, 16, 137, 19, 4800, 
0, 21, 36, 15, 137, 18, 4900, 
1, 21, 36, 15, 135, 20, 5000, 
