Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 9, 500, 
0, 0, 12, 12, 1, 8, 600, 
0, 0, 12, 12, 1, 10, 700, 
0, 0, 13, 13, 1, 9, 800, 
0, 0, 15, 15, 1, 10, 900, 
0, 0, 16, 16, 2, 10, 1000, 
0, 0, 17, 17, 2, 11, 1100, 
0, 0, 16, 16, 2, 12, 1200, 
0, 0, 17, 17, 2, 12, 1300, 
0, 0, 17, 17, 2, 10, 1400, 
0, 0, 19, 19, 3, 11, 1500, 
0, 0, 20, 20, 3, 11, 1600, 
0, 1, 19, 18, 3, 12, 1700, 
0, 1, 19, 18, 4, 12, 1800, 
0, 1, 16, 15, 4, 12, 1900, 
0, 1, 18, 17, 5, 13, 2000, 
0, 2, 19, 17, 7, 13, 2100, 
0, 3, 19, 16, 7, 15, 2200, 
0, 3, 21, 18, 7, 15, 2300, 
0, 3, 22, 19, 10, 15, 2400, 
0, 4, 24, 20, 11, 17, 2500, 
0, 7, 26, 19, 11, 18, 2600, 
0, 8, 26, 18, 19, 19, 2700, 
0, 8, 23, 15, 19, 17, 2800, 
0, 9, 24, 15, 19, 16, 2900, 
0, 9, 26, 17, 29, 15, 3000, 
0, 10, 28, 18, 29, 15, 3100, 
0, 12, 27, 15, 29, 17, 3200, 
0, 12, 29, 17, 41, 16, 3300, 
0, 12, 29, 17, 41, 15, 3400, 
0, 12, 28, 16, 42, 15, 3500, 
0, 12, 28, 16, 54, 16, 3600, 
0, 13, 30, 17, 54, 16, 3700, 
0, 13, 30, 17, 54, 13, 3800, 
0, 13, 30, 17, 67, 12, 3900, 
0, 14, 28, 14, 67, 14, 4000, 
0, 14, 29, 15, 67, 15, 4100, 
0, 14, 31, 17, 81, 16, 4200, 
0, 14, 31, 17, 81, 15, 4300, 
0, 15, 32, 17, 81, 14, 4400, 
0, 17, 31, 14, 99, 12, 4500, 
0, 17, 33, 16, 99, 13, 4600, 
0, 17, 32, 15, 99, 12, 4700, 
0, 17, 33, 16, 116, 13, 4800, 
0, 17, 33, 16, 116, 11, 4900, 
0, 17, 33, 16, 115, 12, 5000, 
