Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 7, 500, 
0, 0, 12, 12, 1, 7, 600, 
0, 0, 13, 13, 1, 7, 700, 
0, 0, 14, 14, 1, 9, 800, 
0, 0, 15, 15, 1, 8, 900, 
0, 0, 15, 15, 2, 9, 1000, 
0, 0, 16, 16, 2, 7, 1100, 
0, 2, 16, 14, 4, 9, 1200, 
0, 3, 18, 15, 4, 9, 1300, 
0, 3, 20, 17, 4, 11, 1400, 
0, 3, 22, 19, 8, 12, 1500, 
0, 4, 22, 18, 8, 11, 1600, 
0, 4, 22, 18, 8, 13, 1700, 
0, 4, 21, 17, 12, 14, 1800, 
0, 5, 21, 16, 12, 12, 1900, 
0, 5, 22, 17, 13, 13, 2000, 
0, 6, 22, 16, 19, 14, 2100, 
0, 7, 23, 16, 19, 13, 2200, 
0, 7, 25, 18, 19, 14, 2300, 
0, 7, 25, 18, 26, 15, 2400, 
0, 7, 27, 20, 27, 14, 2500, 
0, 7, 29, 22, 27, 15, 2600, 
0, 7, 29, 22, 34, 15, 2700, 
0, 8, 26, 18, 34, 16, 2800, 
0, 11, 28, 17, 34, 14, 2900, 
0, 11, 29, 18, 46, 15, 3000, 
0, 11, 31, 20, 46, 15, 3100, 
0, 12, 31, 19, 46, 16, 3200, 
0, 13, 32, 19, 59, 15, 3300, 
0, 13, 32, 19, 59, 16, 3400, 
0, 13, 30, 17, 60, 15, 3500, 
0, 13, 29, 16, 73, 16, 3600, 
0, 14, 31, 17, 72, 14, 3700, 
0, 14, 32, 18, 72, 15, 3800, 
0, 14, 32, 18, 86, 16, 3900, 
0, 14, 31, 17, 87, 16, 4000, 
0, 14, 31, 17, 87, 17, 4100, 
0, 14, 32, 18, 101, 15, 4200, 
0, 15, 33, 18, 101, 17, 4300, 
0, 15, 35, 20, 100, 17, 4400, 
0, 16, 35, 19, 116, 18, 4500, 
0, 18, 37, 19, 116, 19, 4600, 
0, 21, 37, 16, 115, 20, 4700, 
0, 21, 38, 17, 136, 18, 4800, 
0, 22, 38, 16, 136, 17, 4900, 
0, 24, 38, 14, 137, 17, 5000, 
