Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 9, 500, 
0, 0, 11, 11, 1, 9, 600, 
0, 0, 12, 12, 1, 11, 700, 
0, 0, 13, 13, 1, 12, 800, 
0, 0, 15, 15, 1, 13, 900, 
0, 0, 16, 16, 2, 12, 1000, 
0, 0, 18, 18, 2, 13, 1100, 
0, 1, 16, 15, 3, 14, 1200, 
0, 1, 17, 16, 3, 14, 1300, 
0, 1, 17, 16, 3, 14, 1400, 
0, 2, 19, 17, 6, 13, 1500, 
0, 2, 19, 17, 6, 14, 1600, 
0, 2, 18, 16, 6, 13, 1700, 
0, 2, 18, 16, 8, 13, 1800, 
0, 3, 18, 15, 8, 13, 1900, 
0, 3, 19, 16, 9, 15, 2000, 
0, 3, 18, 15, 12, 16, 2100, 
0, 3, 19, 16, 12, 15, 2200, 
0, 4, 20, 16, 12, 15, 2300, 
0, 4, 21, 17, 16, 13, 2400, 
0, 5, 21, 16, 17, 14, 2500, 
0, 5, 23, 18, 17, 14, 2600, 
0, 5, 23, 18, 22, 13, 2700, 
0, 5, 21, 16, 22, 14, 2800, 
0, 7, 23, 16, 22, 13, 2900, 
0, 7, 24, 17, 30, 12, 3000, 
0, 7, 25, 18, 30, 14, 3100, 
0, 8, 24, 16, 30, 13, 3200, 
0, 8, 26, 18, 38, 13, 3300, 
0, 8, 25, 17, 38, 14, 3400, 
0, 9, 25, 16, 39, 16, 3500, 
0, 9, 25, 16, 48, 16, 3600, 
0, 9, 27, 18, 48, 17, 3700, 
0, 9, 27, 18, 48, 18, 3800, 
0, 9, 26, 17, 57, 16, 3900, 
0, 9, 25, 16, 58, 17, 4000, 
0, 10, 26, 16, 58, 17, 4100, 
0, 10, 28, 18, 68, 17, 4200, 
0, 12, 29, 17, 68, 17, 4300, 
0, 13, 30, 17, 68, 18, 4400, 
0, 13, 29, 16, 82, 19, 4500, 
0, 14, 31, 17, 82, 20, 4600, 
0, 15, 31, 16, 82, 21, 4700, 
0, 15, 32, 17, 97, 22, 4800, 
0, 16, 31, 15, 97, 23, 4900, 
0, 16, 31, 15, 98, 23, 5000, 
