Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 9, 500, 
0, 0, 11, 11, 1, 8, 600, 
0, 0, 12, 12, 1, 7, 700, 
0, 0, 13, 13, 1, 7, 800, 
0, 0, 15, 15, 1, 7, 900, 
0, 0, 15, 15, 2, 9, 1000, 
0, 0, 17, 17, 2, 10, 1100, 
0, 0, 17, 17, 2, 10, 1200, 
0, 1, 18, 17, 2, 11, 1300, 
0, 2, 19, 17, 2, 11, 1400, 
0, 3, 20, 17, 6, 10, 1500, 
0, 3, 20, 17, 6, 11, 1600, 
0, 3, 19, 16, 6, 11, 1700, 
0, 3, 19, 16, 9, 13, 1800, 
1, 3, 19, 16, 9, 14, 1900, 
0, 3, 18, 15, 10, 15, 2000, 
1, 3, 19, 16, 13, 14, 2100, 
1, 3, 20, 17, 13, 14, 2200, 
1, 5, 20, 15, 13, 15, 2300, 
1, 5, 21, 16, 18, 16, 2400, 
1, 5, 22, 17, 19, 15, 2500, 
1, 5, 23, 18, 19, 15, 2600, 
1, 6, 24, 18, 25, 15, 2700, 
0, 6, 21, 15, 25, 16, 2800, 
0, 6, 23, 17, 25, 16, 2900, 
0, 6, 24, 18, 32, 14, 3000, 
0, 7, 26, 19, 32, 14, 3100, 
0, 8, 25, 17, 32, 15, 3200, 
0, 9, 27, 18, 41, 16, 3300, 
0, 9, 27, 18, 41, 17, 3400, 
0, 9, 26, 17, 42, 15, 3500, 
0, 9, 26, 17, 51, 16, 3600, 
0, 10, 26, 16, 51, 16, 3700, 
0, 10, 27, 17, 51, 14, 3800, 
0, 10, 27, 17, 61, 13, 3900, 
0, 10, 25, 15, 62, 15, 4000, 
0, 10, 25, 15, 62, 14, 4100, 
0, 10, 27, 17, 72, 14, 4200, 
0, 10, 28, 18, 71, 14, 4300, 
0, 11, 28, 17, 71, 14, 4400, 
0, 11, 28, 17, 83, 13, 4500, 
0, 11, 30, 19, 80, 14, 4600, 
0, 12, 30, 18, 78, 15, 4700, 
0, 14, 29, 15, 92, 15, 4800, 
0, 15, 28, 13, 92, 14, 4900, 
0, 15, 28, 13, 93, 15, 5000, 
