Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 8, 500, 
0, 0, 12, 12, 1, 7, 600, 
0, 0, 12, 12, 1, 6, 700, 
0, 0, 13, 13, 1, 6, 800, 
0, 1, 14, 13, 2, 6, 900, 
0, 1, 14, 13, 3, 6, 1000, 
0, 1, 16, 15, 3, 8, 1100, 
0, 1, 16, 15, 4, 8, 1200, 
0, 2, 17, 15, 4, 9, 1300, 
0, 2, 17, 15, 4, 10, 1400, 
0, 2, 19, 17, 7, 11, 1500, 
0, 2, 19, 17, 7, 10, 1600, 
0, 2, 19, 17, 7, 10, 1700, 
0, 3, 19, 16, 10, 10, 1800, 
0, 4, 19, 15, 10, 11, 1900, 
0, 5, 20, 15, 11, 11, 2000, 
0, 6, 21, 15, 17, 12, 2100, 
0, 6, 22, 16, 17, 13, 2200, 
0, 6, 24, 18, 17, 12, 2300, 
0, 8, 24, 16, 25, 13, 2400, 
0, 9, 26, 17, 26, 13, 2500, 
0, 11, 28, 17, 26, 12, 2600, 
0, 11, 29, 18, 37, 12, 2700, 
0, 11, 27, 16, 37, 12, 2800, 
0, 11, 27, 16, 37, 11, 2900, 
0, 12, 29, 17, 50, 11, 3000, 
0, 12, 31, 19, 50, 11, 3100, 
0, 13, 31, 18, 50, 11, 3200, 
0, 13, 31, 18, 63, 11, 3300, 
0, 14, 32, 18, 63, 12, 3400, 
0, 15, 31, 16, 64, 13, 3500, 
0, 16, 31, 15, 80, 15, 3600, 
0, 16, 33, 17, 80, 15, 3700, 
0, 17, 34, 17, 80, 14, 3800, 
0, 18, 33, 15, 98, 12, 3900, 
0, 18, 31, 13, 99, 13, 4000, 
0, 18, 32, 14, 99, 12, 4100, 
0, 18, 32, 14, 117, 14, 4200, 
0, 19, 32, 13, 117, 12, 4300, 
0, 19, 34, 15, 116, 13, 4400, 
0, 19, 34, 15, 135, 13, 4500, 
0, 21, 36, 15, 135, 14, 4600, 
0, 21, 36, 15, 135, 15, 4700, 
0, 21, 37, 16, 156, 16, 4800, 
0, 22, 37, 15, 156, 14, 4900, 
0, 22, 37, 15, 156, 14, 5000, 
