Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 9, 500, 
0, 0, 12, 12, 1, 9, 600, 
0, 0, 12, 12, 1, 9, 700, 
0, 0, 13, 13, 1, 11, 800, 
0, 0, 15, 15, 1, 11, 900, 
0, 0, 14, 14, 2, 11, 1000, 
0, 0, 15, 15, 2, 13, 1100, 
0, 1, 15, 14, 3, 13, 1200, 
0, 1, 17, 16, 3, 15, 1300, 
0, 1, 18, 17, 3, 15, 1400, 
0, 2, 19, 17, 6, 15, 1500, 
0, 2, 19, 17, 6, 15, 1600, 
0, 2, 19, 17, 6, 16, 1700, 
0, 4, 19, 15, 10, 15, 1800, 
0, 4, 17, 13, 10, 16, 1900, 
0, 4, 19, 15, 11, 17, 2000, 
0, 4, 20, 16, 15, 19, 2100, 
0, 4, 21, 17, 15, 12, 2200, 
0, 4, 22, 18, 15, 12, 2300, 
0, 5, 23, 18, 20, 12, 2400, 
0, 5, 25, 20, 21, 13, 2500, 
0, 6, 25, 19, 21, 12, 2600, 
0, 8, 26, 18, 29, 12, 2700, 
0, 8, 24, 16, 29, 12, 2800, 
0, 9, 25, 16, 29, 12, 2900, 
0, 10, 27, 17, 40, 13, 3000, 
0, 10, 28, 18, 40, 11, 3100, 
0, 10, 28, 18, 40, 12, 3200, 
0, 10, 30, 20, 50, 10, 3300, 
0, 10, 31, 21, 50, 10, 3400, 
0, 10, 31, 21, 51, 12, 3500, 
0, 13, 31, 18, 64, 12, 3600, 
0, 14, 33, 19, 64, 10, 3700, 
0, 16, 34, 18, 64, 12, 3800, 
0, 19, 33, 14, 83, 13, 3900, 
0, 19, 32, 13, 84, 13, 4000, 
0, 19, 33, 14, 84, 14, 4100, 
0, 19, 35, 16, 103, 15, 4200, 
0, 19, 36, 17, 103, 15, 4300, 
0, 19, 38, 19, 103, 16, 4400, 
0, 21, 37, 16, 124, 15, 4500, 
0, 23, 39, 16, 122, 15, 4600, 
0, 23, 39, 16, 122, 16, 4700, 
0, 25, 40, 15, 145, 14, 4800, 
0, 25, 40, 15, 143, 14, 4900, 
0, 28, 40, 12, 144, 14, 5000, 
