Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 6, 500, 
0, 0, 11, 11, 1, 7, 600, 
0, 0, 10, 10, 1, 8, 700, 
0, 0, 12, 12, 1, 8, 800, 
0, 0, 13, 13, 1, 9, 900, 
0, 0, 14, 14, 2, 10, 1000, 
0, 1, 16, 15, 2, 10, 1100, 
0, 1, 15, 14, 3, 11, 1200, 
0, 1, 16, 15, 3, 13, 1300, 
0, 2, 18, 16, 3, 12, 1400, 
0, 2, 18, 16, 6, 14, 1500, 
0, 2, 19, 17, 6, 14, 1600, 
0, 2, 18, 16, 6, 14, 1700, 
0, 2, 18, 16, 8, 16, 1800, 
0, 2, 18, 16, 8, 14, 1900, 
0, 3, 19, 16, 9, 15, 2000, 
0, 4, 20, 16, 13, 14, 2100, 
0, 4, 21, 17, 13, 15, 2200, 
0, 5, 23, 18, 13, 15, 2300, 
0, 7, 24, 17, 20, 15, 2400, 
0, 8, 26, 18, 21, 16, 2500, 
0, 8, 28, 20, 21, 16, 2600, 
0, 8, 27, 19, 29, 17, 2700, 
0, 9, 25, 16, 29, 18, 2800, 
0, 9, 27, 18, 29, 18, 2900, 
0, 9, 29, 20, 39, 14, 3000, 
0, 9, 30, 21, 39, 13, 3100, 
0, 9, 28, 19, 39, 12, 3200, 
0, 10, 29, 19, 49, 11, 3300, 
0, 11, 30, 19, 49, 13, 3400, 
0, 13, 29, 16, 50, 10, 3500, 
0, 13, 29, 16, 63, 10, 3600, 
0, 13, 30, 17, 63, 11, 3700, 
0, 13, 30, 17, 63, 10, 3800, 
0, 14, 30, 16, 77, 12, 3900, 
0, 14, 28, 14, 78, 11, 4000, 
0, 14, 29, 15, 78, 12, 4100, 
0, 14, 31, 17, 92, 14, 4200, 
0, 15, 32, 17, 92, 13, 4300, 
0, 16, 34, 18, 92, 13, 4400, 
0, 17, 34, 17, 110, 13, 4500, 
0, 18, 35, 17, 109, 15, 4600, 
0, 18, 35, 17, 108, 15, 4700, 
0, 19, 33, 14, 127, 15, 4800, 
0, 20, 33, 13, 127, 16, 4900, 
0, 20, 33, 13, 127, 16, 5000, 
