Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 8, 500, 
0, 0, 12, 12, 1, 7, 600, 
0, 0, 13, 13, 1, 8, 700, 
0, 0, 14, 14, 1, 8, 800, 
0, 1, 16, 15, 2, 10, 900, 
0, 2, 17, 15, 3, 9, 1000, 
0, 3, 19, 16, 3, 9, 1100, 
0, 3, 19, 16, 6, 10, 1200, 
0, 3, 18, 15, 6, 12, 1300, 
0, 3, 20, 17, 6, 12, 1400, 
0, 3, 21, 18, 10, 13, 1500, 
0, 3, 21, 18, 10, 11, 1600, 
0, 3, 21, 18, 10, 10, 1700, 
0, 3, 20, 17, 13, 12, 1800, 
1, 3, 19, 16, 13, 12, 1900, 
0, 4, 20, 16, 14, 12, 2000, 
0, 4, 21, 17, 18, 14, 2100, 
0, 5, 21, 16, 18, 13, 2200, 
0, 5, 22, 17, 18, 13, 2300, 
0, 6, 23, 17, 24, 14, 2400, 
1, 6, 25, 19, 25, 15, 2500, 
0, 8, 27, 19, 25, 15, 2600, 
0, 8, 28, 20, 33, 14, 2700, 
0, 8, 24, 16, 33, 12, 2800, 
0, 8, 25, 17, 33, 13, 2900, 
0, 11, 27, 16, 45, 15, 3000, 
0, 11, 29, 18, 45, 14, 3100, 
0, 11, 29, 18, 45, 13, 3200, 
0, 11, 30, 19, 56, 14, 3300, 
0, 11, 30, 19, 55, 14, 3400, 
0, 11, 30, 19, 56, 16, 3500, 
0, 11, 29, 18, 67, 17, 3600, 
0, 12, 31, 19, 67, 18, 3700, 
0, 13, 31, 18, 67, 19, 3800, 
0, 13, 31, 18, 79, 19, 3900, 
0, 14, 29, 15, 80, 20, 4000, 
0, 14, 30, 16, 80, 19, 4100, 
0, 16, 31, 15, 96, 19, 4200, 
0, 16, 32, 16, 96, 20, 4300, 
0, 16, 34, 18, 95, 19, 4400, 
0, 16, 33, 17, 112, 18, 4500, 
0, 17, 34, 17, 112, 19, 4600, 
0, 19, 34, 15, 111, 20, 4700, 
0, 19, 35, 16, 130, 21, 4800, 
0, 20, 35, 15, 130, 22, 4900, 
0, 20, 34, 14, 131, 22, 5000, 
