Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 6, 500, 
0, 0, 12, 12, 1, 7, 600, 
0, 0, 12, 12, 1, 8, 700, 
0, 0, 13, 13, 1, 10, 800, 
0, 0, 14, 14, 1, 10, 900, 
0, 0, 15, 15, 2, 10, 1000, 
0, 0, 16, 16, 2, 11, 1100, 
0, 0, 16, 16, 2, 11, 1200, 
0, 0, 17, 17, 2, 10, 1300, 
0, 0, 19, 19, 2, 11, 1400, 
0, 0, 19, 19, 3, 11, 1500, 
0, 2, 20, 18, 3, 11, 1600, 
0, 3, 19, 16, 3, 11, 1700, 
0, 3, 18, 15, 6, 12, 1800, 
0, 4, 17, 13, 6, 14, 1900, 
0, 4, 18, 14, 7, 14, 2000, 
0, 4, 19, 15, 11, 14, 2100, 
0, 4, 20, 16, 11, 14, 2200, 
0, 4, 22, 18, 11, 15, 2300, 
0, 4, 22, 18, 15, 14, 2400, 
0, 5, 23, 18, 16, 13, 2500, 
0, 6, 23, 17, 16, 14, 2600, 
0, 6, 24, 18, 22, 14, 2700, 
0, 6, 21, 15, 22, 16, 2800, 
0, 6, 23, 17, 22, 15, 2900, 
0, 8, 25, 17, 31, 17, 3000, 
0, 8, 27, 19, 31, 17, 3100, 
0, 8, 26, 18, 31, 19, 3200, 
0, 8, 27, 19, 39, 18, 3300, 
0, 8, 27, 19, 39, 17, 3400, 
0, 8, 27, 19, 40, 19, 3500, 
0, 8, 26, 18, 48, 21, 3600, 
0, 9, 27, 18, 48, 17, 3700, 
0, 10, 28, 18, 48, 17, 3800, 
0, 10, 28, 18, 58, 16, 3900, 
0, 11, 25, 14, 59, 16, 4000, 
0, 12, 26, 14, 59, 16, 4100, 
0, 12, 28, 16, 71, 16, 4200, 
0, 12, 26, 14, 71, 17, 4300, 
0, 12, 27, 15, 70, 18, 4400, 
0, 14, 27, 13, 85, 18, 4500, 
0, 14, 29, 15, 85, 18, 4600, 
0, 14, 29, 15, 85, 17, 4700, 
0, 14, 30, 16, 98, 17, 4800, 
0, 14, 29, 15, 95, 16, 4900, 
0, 15, 27, 12, 96, 18, 5000, 
