Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 8, 500, 
0, 0, 12, 12, 1, 8, 600, 
0, 0, 13, 13, 1, 8, 700, 
0, 0, 14, 14, 1, 8, 800, 
0, 0, 15, 15, 1, 9, 900, 
0, 0, 15, 15, 2, 7, 1000, 
0, 0, 14, 14, 2, 9, 1100, 
0, 0, 14, 14, 2, 9, 1200, 
0, 0, 16, 16, 2, 10, 1300, 
0, 1, 17, 16, 2, 10, 1400, 
0, 1, 19, 18, 4, 11, 1500, 
0, 2, 20, 18, 4, 11, 1600, 
0, 3, 20, 17, 4, 10, 1700, 
0, 3, 20, 17, 7, 11, 1800, 
0, 3, 19, 16, 7, 11, 1900, 
0, 4, 20, 16, 8, 11, 2000, 
0, 4, 20, 16, 12, 12, 2100, 
0, 4, 20, 16, 12, 11, 2200, 
0, 5, 21, 16, 12, 12, 2300, 
0, 5, 20, 15, 17, 14, 2400, 
0, 5, 22, 17, 18, 14, 2500, 
0, 5, 24, 19, 18, 16, 2600, 
0, 5, 23, 18, 23, 15, 2700, 
0, 5, 19, 14, 23, 13, 2800, 
0, 6, 21, 15, 23, 13, 2900, 
0, 6, 23, 17, 30, 12, 3000, 
0, 6, 24, 18, 30, 13, 3100, 
0, 6, 23, 17, 30, 13, 3200, 
0, 7, 25, 18, 37, 13, 3300, 
0, 8, 26, 18, 37, 12, 3400, 
0, 8, 26, 18, 38, 13, 3500, 
0, 8, 25, 17, 46, 14, 3600, 
0, 8, 26, 18, 46, 14, 3700, 
0, 9, 25, 16, 46, 14, 3800, 
0, 9, 25, 16, 55, 14, 3900, 
0, 9, 24, 15, 55, 15, 4000, 
0, 9, 25, 16, 55, 14, 4100, 
0, 10, 27, 17, 64, 12, 4200, 
0, 11, 26, 15, 64, 13, 4300, 
0, 12, 27, 15, 64, 14, 4400, 
0, 12, 26, 14, 77, 13, 4500, 
0, 12, 28, 16, 77, 13, 4600, 
0, 12, 27, 15, 77, 10, 4700, 
0, 12, 28, 16, 89, 11, 4800, 
0, 12, 27, 15, 88, 13, 4900, 
0, 12, 27, 15, 89, 12, 5000, 
