Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 8, 500, 
0, 0, 11, 11, 1, 10, 600, 
0, 0, 12, 12, 1, 11, 700, 
0, 0, 13, 13, 1, 11, 800, 
0, 0, 15, 15, 1, 12, 900, 
0, 0, 16, 16, 2, 12, 1000, 
0, 0, 18, 18, 2, 12, 1100, 
0, 1, 17, 16, 3, 12, 1200, 
0, 1, 19, 18, 3, 12, 1300, 
0, 1, 21, 20, 3, 14, 1400, 
0, 2, 20, 18, 6, 15, 1500, 
0, 2, 19, 17, 6, 16, 1600, 
0, 2, 18, 16, 6, 16, 1700, 
0, 2, 17, 15, 8, 16, 1800, 
0, 2, 16, 14, 8, 16, 1900, 
0, 3, 17, 14, 9, 15, 2000, 
0, 3, 17, 14, 12, 15, 2100, 
0, 3, 18, 15, 12, 16, 2200, 
0, 3, 20, 17, 12, 15, 2300, 
1, 3, 20, 17, 15, 16, 2400, 
0, 5, 22, 17, 16, 17, 2500, 
0, 5, 23, 18, 16, 15, 2600, 
0, 6, 24, 18, 22, 15, 2700, 
0, 6, 22, 16, 22, 16, 2800, 
0, 6, 24, 18, 22, 17, 2900, 
0, 6, 24, 18, 29, 14, 3000, 
0, 8, 26, 18, 29, 13, 3100, 
0, 8, 26, 18, 29, 14, 3200, 
0, 8, 27, 19, 37, 14, 3300, 
0, 8, 27, 19, 37, 15, 3400, 
0, 8, 26, 18, 38, 14, 3500, 
0, 9, 26, 17, 45, 15, 3600, 
0, 11, 28, 17, 45, 16, 3700, 
0, 11, 28, 17, 45, 14, 3800, 
0, 11, 27, 16, 56, 14, 3900, 
0, 11, 26, 15, 57, 15, 4000, 
0, 11, 26, 15, 57, 14, 4100, 
0, 11, 27, 16, 68, 12, 4200, 
0, 11, 28, 17, 68, 13, 4300, 
0, 13, 30, 17, 68, 12, 4400, 
0, 14, 29, 15, 83, 12, 4500, 
1, 14, 30, 16, 82, 12, 4600, 
1, 16, 30, 14, 82, 12, 4700, 
1, 16, 31, 15, 98, 11, 4800, 
1, 16, 31, 15, 98, 10, 4900, 
1, 17, 31, 14, 99, 10, 5000, 
