Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 9, 500, 
0, 0, 11, 11, 1, 10, 600, 
0, 0, 12, 12, 1, 9, 700, 
0, 0, 14, 14, 1, 9, 800, 
0, 0, 14, 14, 1, 9, 900, 
0, 0, 15, 15, 2, 9, 1000, 
0, 1, 16, 15, 2, 9, 1100, 
0, 1, 16, 15, 3, 11, 1200, 
0, 1, 17, 16, 3, 10, 1300, 
0, 1, 18, 17, 3, 10, 1400, 
0, 1, 18, 17, 5, 11, 1500, 
0, 2, 19, 17, 5, 12, 1600, 
0, 2, 18, 16, 5, 12, 1700, 
0, 3, 18, 15, 8, 13, 1800, 
0, 3, 17, 14, 8, 15, 1900, 
0, 3, 18, 15, 9, 13, 2000, 
0, 3, 17, 14, 12, 14, 2100, 
0, 3, 18, 15, 12, 14, 2200, 
0, 3, 18, 15, 12, 16, 2300, 
0, 3, 19, 16, 15, 15, 2400, 
1, 4, 21, 17, 16, 15, 2500, 
1, 5, 23, 18, 16, 16, 2600, 
0, 6, 24, 18, 22, 17, 2700, 
0, 6, 22, 16, 22, 19, 2800, 
0, 6, 23, 17, 22, 19, 2900, 
1, 6, 24, 18, 29, 21, 3000, 
0, 7, 26, 19, 29, 19, 3100, 
0, 8, 26, 18, 29, 18, 3200, 
0, 8, 26, 18, 37, 18, 3300, 
0, 8, 27, 19, 37, 17, 3400, 
0, 8, 25, 17, 38, 15, 3500, 
0, 9, 24, 15, 47, 15, 3600, 
0, 9, 25, 16, 47, 16, 3700, 
0, 9, 26, 17, 47, 15, 3800, 
0, 9, 24, 15, 56, 15, 3900, 
0, 9, 23, 14, 57, 17, 4000, 
0, 9, 23, 14, 57, 16, 4100, 
0, 10, 25, 15, 67, 17, 4200, 
0, 10, 25, 15, 67, 15, 4300, 
0, 10, 27, 17, 67, 15, 4400, 
0, 12, 27, 15, 80, 14, 4500, 
0, 13, 29, 16, 80, 14, 4600, 
0, 13, 28, 15, 80, 12, 4700, 
0, 13, 29, 16, 92, 14, 4800, 
0, 13, 28, 15, 91, 15, 4900, 
0, 14, 28, 14, 92, 15, 5000, 
