Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 9, 500, 
0, 0, 12, 12, 1, 10, 600, 
0, 0, 13, 13, 1, 10, 700, 
0, 2, 14, 12, 1, 11, 800, 
0, 2, 16, 14, 3, 11, 900, 
0, 2, 16, 14, 4, 12, 1000, 
0, 2, 17, 15, 4, 13, 1100, 
0, 3, 16, 13, 7, 14, 1200, 
0, 3, 18, 15, 7, 13, 1300, 
0, 3, 19, 16, 7, 12, 1400, 
0, 3, 21, 18, 11, 14, 1500, 
0, 3, 20, 17, 11, 14, 1600, 
0, 3, 20, 17, 11, 14, 1700, 
0, 3, 18, 15, 14, 15, 1800, 
0, 4, 18, 14, 14, 15, 1900, 
0, 4, 19, 15, 15, 17, 2000, 
0, 4, 20, 16, 19, 17, 2100, 
0, 5, 20, 15, 19, 16, 2200, 
0, 6, 22, 16, 19, 15, 2300, 
0, 7, 23, 16, 26, 16, 2400, 
0, 7, 25, 18, 27, 18, 2500, 
0, 8, 26, 18, 27, 17, 2600, 
0, 8, 27, 19, 35, 17, 2700, 
0, 9, 25, 16, 35, 17, 2800, 
0, 9, 26, 17, 35, 18, 2900, 
0, 10, 27, 17, 46, 17, 3000, 
0, 10, 29, 19, 46, 19, 3100, 
0, 11, 29, 18, 46, 18, 3200, 
0, 11, 30, 19, 57, 19, 3300, 
0, 12, 31, 19, 57, 18, 3400, 
0, 12, 31, 19, 58, 19, 3500, 
0, 12, 29, 17, 70, 18, 3600, 
0, 12, 31, 19, 70, 19, 3700, 
0, 13, 30, 17, 70, 20, 3800, 
0, 14, 30, 16, 84, 19, 3900, 
0, 14, 29, 15, 85, 20, 4000, 
0, 16, 29, 13, 85, 20, 4100, 
0, 16, 31, 15, 100, 20, 4200, 
0, 17, 32, 15, 100, 20, 4300, 
0, 17, 34, 17, 100, 20, 4400, 
0, 18, 34, 16, 119, 20, 4500, 
0, 18, 36, 18, 119, 18, 4600, 
0, 18, 35, 17, 119, 18, 4700, 
0, 20, 35, 15, 138, 19, 4800, 
0, 20, 35, 15, 138, 20, 4900, 
0, 20, 34, 14, 139, 21, 5000, 
