Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 8, 500, 
0, 0, 11, 11, 1, 8, 600, 
0, 0, 11, 11, 1, 8, 700, 
0, 0, 13, 13, 1, 9, 800, 
0, 0, 14, 14, 1, 10, 900, 
0, 0, 14, 14, 2, 11, 1000, 
0, 0, 15, 15, 2, 11, 1100, 
0, 1, 15, 14, 3, 12, 1200, 
0, 1, 17, 16, 3, 13, 1300, 
0, 1, 18, 17, 3, 12, 1400, 
0, 1, 19, 18, 5, 12, 1500, 
0, 2, 20, 18, 5, 13, 1600, 
0, 2, 19, 17, 5, 13, 1700, 
0, 2, 18, 16, 7, 13, 1800, 
0, 2, 18, 16, 7, 14, 1900, 
0, 3, 19, 16, 8, 14, 2000, 
0, 3, 19, 16, 11, 14, 2100, 
0, 3, 19, 16, 11, 14, 2200, 
0, 3, 21, 18, 11, 13, 2300, 
0, 4, 20, 16, 15, 14, 2400, 
0, 4, 21, 17, 16, 14, 2500, 
0, 4, 23, 19, 16, 14, 2600, 
0, 5, 24, 19, 21, 15, 2700, 
0, 6, 22, 16, 21, 13, 2800, 
0, 7, 24, 17, 21, 14, 2900, 
0, 8, 25, 17, 30, 13, 3000, 
0, 8, 26, 18, 30, 12, 3100, 
0, 9, 26, 17, 30, 14, 3200, 
0, 9, 28, 19, 39, 12, 3300, 
0, 9, 29, 20, 39, 11, 3400, 
0, 9, 27, 18, 40, 12, 3500, 
0, 9, 26, 17, 48, 14, 3600, 
0, 9, 27, 18, 48, 15, 3700, 
1, 9, 28, 19, 48, 13, 3800, 
0, 10, 27, 17, 58, 14, 3900, 
0, 11, 26, 15, 59, 16, 4000, 
0, 11, 27, 16, 58, 13, 4100, 
0, 12, 29, 17, 70, 14, 4200, 
0, 13, 30, 17, 70, 12, 4300, 
0, 14, 31, 17, 70, 11, 4400, 
0, 15, 31, 16, 86, 13, 4500, 
0, 16, 32, 16, 86, 13, 4600, 
0, 16, 32, 16, 86, 14, 4700, 
0, 18, 33, 15, 103, 16, 4800, 
0, 18, 32, 14, 103, 18, 4900, 
1, 18, 32, 14, 104, 20, 5000, 
